Player,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,cluster,x_cor,y_cor,Pos
Shawn Marion,2010,31.8,5.3,10.4,0.508,0.0,0.3,0.158,5.2,10.1,0.516,0.51,1.4,1.9,0.755,2.1,4.3,6.4,1.4,0.9,0.8,1.3,1.9,12.0,1,4.953864493525863,3.301128840010382,SF
Cartier Martin,2010,21.7,2.8,7.6,0.368,0.9,2.7,0.34700000000000003,1.8,4.8,0.379,0.43,1.3,1.7,0.8,1.4,2.4,3.8,0.9,0.6,0.1,1.1,2.7,7.8,0,-7.657296115696956,-0.469912328947204,SF
Cartier Martin,2010,27.6,3.2,8.8,0.364,1.0,3.1,0.32299999999999995,2.2,5.7,0.386,0.42,1.6,2.1,0.762,1.7,3.0,4.7,0.9,0.8,0.0,1.3,3.6,9.0,3,-1.915291782832874,0.12110767863362078,SF
Kenyon Martin,2010,34.2,4.9,10.7,0.456,0.1,0.5,0.276,4.7,10.2,0.465,0.46299999999999997,1.6,2.9,0.557,2.4,7.0,9.4,1.9,1.2,1.1,1.6,3.2,11.5,1,7.094330390846128,6.35529577032457,PF
Kevin Martin,2010,35.5,6.3,15.1,0.41700000000000004,1.5,4.6,0.33299999999999996,4.8,10.5,0.45299999999999996,0.46799999999999997,6.5,7.4,0.8759999999999999,0.6,2.9,3.6,2.4,1.0,0.1,2.0,2.1,20.6,4,14.965134437578698,-4.1529157011365845,SG
Kevin Martin,2010,35.2,6.1,15.4,0.39799999999999996,1.8,5.0,0.355,4.4,10.4,0.419,0.456,5.8,7.0,0.8190000000000001,0.9,3.4,4.3,2.6,1.0,0.2,1.6,2.3,19.8,4,14.382375784962369,-3.6615910284016646,SG
Kevin Martin,2010,35.8,6.4,14.8,0.435,1.3,4.2,0.31,5.1,10.6,0.484,0.479,7.1,7.7,0.924,0.4,2.5,2.9,2.3,1.0,0.1,2.4,1.9,21.3,4,15.461414496573099,-4.603623917621584,SG
Roger Mason,2010,19.2,2.4,6.3,0.389,1.1,3.3,0.33299999999999996,1.3,2.9,0.45299999999999996,0.478,0.3,0.4,0.794,0.1,1.9,2.1,1.7,0.4,0.2,0.7,1.3,6.3,0,-11.725493464105963,-2.5695132812072434,SG
Wesley Matthews,2010,24.7,3.3,6.9,0.483,0.8,2.0,0.382,2.6,4.9,0.525,0.539,2.0,2.4,0.8290000000000001,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,3,-4.779975064333441,-1.8392780646419462,SG
Jason Maxiell,2010,20.4,2.8,5.5,0.511,0.0,0.0,0.0,2.8,5.4,0.512,0.511,1.2,2.0,0.574,2.1,3.2,5.3,0.5,0.5,0.5,0.9,2.3,6.8,0,-9.255392464076753,3.1144589054458858,C
Eric Maynor,2010,16.5,1.9,4.3,0.434,0.3,0.9,0.36200000000000004,1.5,3.4,0.452,0.47,0.5,0.7,0.6920000000000001,0.2,1.5,1.7,3.4,0.5,0.1,1.0,1.5,4.5,0,-14.868969939157042,-1.5054646980301287,PG
O.J. Mayo,2010,38.0,6.6,14.4,0.45799999999999996,1.7,4.3,0.38299999999999995,5.0,10.1,0.49,0.516,2.6,3.2,0.809,0.7,3.0,3.8,3.0,1.2,0.2,2.1,2.1,17.5,4,13.715438248745329,-3.3093289433899447,SG
Luc Mbah a Moute,2010,25.6,2.4,5.1,0.48,0.1,0.2,0.353,2.3,4.8,0.486,0.488,1.3,1.8,0.6990000000000001,2.3,3.1,5.5,1.1,0.8,0.5,1.0,2.5,6.2,3,-6.408105237848159,3.137420061893198,PF
Antonio McDyess,2010,21.0,2.7,5.6,0.479,0.0,0.0,0.0,2.7,5.5,0.48100000000000004,0.479,0.5,0.7,0.632,1.9,4.0,5.9,1.1,0.6,0.4,1.0,1.9,5.8,0,-9.418124054889978,3.7113952058601005,PF
JaVale McGee,2010,16.1,2.6,5.1,0.508,0.0,0.0,0.0,2.6,5.1,0.51,0.508,1.2,1.9,0.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4,0,-12.697159198845583,2.054764856996833,C
Tracy McGrady*,2010,22.4,3.0,7.8,0.387,0.5,2.1,0.25,2.5,5.7,0.439,0.42100000000000004,1.6,2.1,0.746,0.7,2.4,3.1,3.3,0.5,0.5,1.5,1.3,8.2,3,-6.0570070547300245,-1.459993404355015,SG
Tracy McGrady*,2010,26.1,3.5,9.0,0.389,0.6,2.6,0.242,2.9,6.4,0.44799999999999995,0.424,1.8,2.4,0.754,0.9,2.8,3.7,3.9,0.6,0.5,1.8,1.6,9.4,3,-2.069457499517607,-1.3744863883970129,SG
C.J. Miles,2010,23.8,3.8,8.9,0.429,1.2,3.4,0.341,2.7,5.5,0.484,0.495,1.0,1.5,0.695,0.7,2.0,2.7,1.7,0.9,0.3,1.3,3.0,9.9,3,-4.129519644530681,-2.5089641159367466,SF
Darko Miličić,2010,21.4,3.1,6.4,0.49,0.0,0.0,0.0,3.1,6.3,0.493,0.49,0.5,0.9,0.536,1.5,3.3,4.7,1.5,0.7,1.1,1.1,2.6,6.7,0,-8.171107635169678,2.4904948582612216,C
Darko Miličić,2010,25.6,3.8,7.8,0.49200000000000005,0.0,0.0,0.0,3.8,7.8,0.495,0.49200000000000005,0.6,1.2,0.536,1.8,3.8,5.5,1.8,0.8,1.4,1.4,3.1,8.3,3,-2.9878773545911668,3.0132916468270685,C
Andre Miller,2010,30.5,4.9,11.1,0.445,0.2,1.0,0.2,4.7,10.1,0.469,0.45399999999999996,3.9,4.8,0.821,1.0,2.3,3.2,5.4,1.1,0.1,2.1,2.1,14.0,2,5.892678156602487,-1.7428585862253716,PG
Brad Miller,2010,23.8,3.0,7.1,0.43,0.5,1.6,0.28,2.6,5.5,0.474,0.462,2.2,2.7,0.8270000000000001,1.0,3.9,4.9,1.9,0.5,0.4,1.3,2.3,8.8,3,-4.805538732356379,1.0438713166418168,C
Mike Miller,2010,33.4,4.0,8.0,0.501,1.5,3.2,0.48,2.5,4.9,0.515,0.596,1.3,1.6,0.8240000000000001,1.0,5.2,6.2,3.9,0.7,0.2,2.1,2.4,10.9,2,2.714254039483252,0.7861981805230047,SG
Paul Millsap,2010,27.8,4.7,8.7,0.5379999999999999,0.0,0.1,0.111,4.7,8.6,0.5429999999999999,0.5379999999999999,2.2,3.2,0.693,2.3,4.5,6.8,1.6,0.8,1.2,1.4,3.5,11.6,1,1.390075985218693,3.900477034282365,PF
